[2020-08-25 08:59:38.224] [plc_logger] [info] Execution time for plc min loop - ns; 52400 ; mutexlockTime ; 1165 ; difference ; 51235
[2020-08-25 08:59:38.424] [plc_logger] [info] Execution time for plc min loop - ns; 35974 ; mutexlockTime ; 545 ; difference ; 35429
[2020-08-25 08:59:38.624] [plc_logger] [info] Execution time for plc min loop - ns; 37743 ; mutexlockTime ; 292 ; difference ; 37451
[2020-08-25 08:59:38.824] [plc_logger] [info] Execution time for plc min loop - ns; 52811 ; mutexlockTime ; 940 ; difference ; 51871
[2020-08-25 08:59:39.024] [plc_logger] [info] Execution time for plc min loop - ns; 37917 ; mutexlockTime ; 397 ; difference ; 37520
[2020-08-25 08:59:39.224] [plc_logger] [info] Execution time for plc min loop - ns; 36340 ; mutexlockTime ; 485 ; difference ; 35855
[2020-08-25 08:59:39.424] [plc_logger] [info] Execution time for plc min loop - ns; 64637 ; mutexlockTime ; 704 ; difference ; 63933
[2020-08-25 08:59:39.624] [plc_logger] [info] Execution time for plc min loop - ns; 65028 ; mutexlockTime ; 587 ; difference ; 64441
[2020-08-25 08:59:39.824] [plc_logger] [info] Execution time for plc min loop - ns; 32446 ; mutexlockTime ; 288 ; difference ; 32158
[2020-08-25 08:59:40.024] [plc_logger] [info] Execution time for plc min loop - ns; 56843 ; mutexlockTime ; 598 ; difference ; 56245
[2020-08-25 08:59:40.224] [plc_logger] [info] Execution time for plc min loop - ns; 61151 ; mutexlockTime ; 604 ; difference ; 60547
[2020-08-25 08:59:40.424] [plc_logger] [info] Execution time for plc min loop - ns; 60567 ; mutexlockTime ; 597 ; difference ; 59970
[2020-08-25 08:59:40.624] [plc_logger] [info] Execution time for plc min loop - ns; 39601 ; mutexlockTime ; 515 ; difference ; 39086
[2020-08-25 08:59:40.826] [plc_logger] [info] Execution time for plc min loop - ns; 2235396 ; mutexlockTime ; 2191520 ; difference ; 43876
[2020-08-25 08:59:41.028] [plc_logger] [info] Execution time for plc min loop - ns; 4643693 ; mutexlockTime ; 4592540 ; difference ; 51153
[2020-08-25 08:59:41.231] [plc_logger] [info] Execution time for plc min loop - ns; 7359386 ; mutexlockTime ; 7287227 ; difference ; 72159
[2020-08-25 08:59:41.432] [plc_logger] [info] Execution time for plc min loop - ns; 8832446 ; mutexlockTime ; 8787382 ; difference ; 45064
[2020-08-25 08:59:41.624] [plc_logger] [info] Execution time for plc min loop - ns; 47780 ; mutexlockTime ; 1427 ; difference ; 46353
[2020-08-25 08:59:41.824] [plc_logger] [info] Execution time for plc min loop - ns; 56184 ; mutexlockTime ; 1132 ; difference ; 55052
[2020-08-25 08:59:42.024] [plc_logger] [info] Execution time for plc min loop - ns; 45356 ; mutexlockTime ; 876 ; difference ; 44480
[2020-08-25 08:59:42.224] [plc_logger] [info] Execution time for plc min loop - ns; 222670 ; mutexlockTime ; 1251 ; difference ; 221419
[2020-08-25 08:59:42.424] [plc_logger] [info] Execution time for plc min loop - ns; 57198 ; mutexlockTime ; 1491 ; difference ; 55707
[2020-08-25 08:59:42.624] [plc_logger] [info] Execution time for plc min loop - ns; 48361 ; mutexlockTime ; 854 ; difference ; 47507
[2020-08-25 08:59:42.824] [plc_logger] [info] Execution time for plc min loop - ns; 67746 ; mutexlockTime ; 1305 ; difference ; 66441
[2020-08-25 08:59:43.024] [plc_logger] [info] Execution time for plc min loop - ns; 48726 ; mutexlockTime ; 890 ; difference ; 47836
[2020-08-25 08:59:43.224] [plc_logger] [info] Execution time for plc min loop - ns; 45049 ; mutexlockTime ; 716 ; difference ; 44333
[2020-08-25 08:59:43.424] [plc_logger] [info] Execution time for plc min loop - ns; 50743 ; mutexlockTime ; 1103 ; difference ; 49640
[2020-08-25 08:59:43.624] [plc_logger] [info] Execution time for plc min loop - ns; 78249 ; mutexlockTime ; 1443 ; difference ; 76806
[2020-08-25 08:59:43.824] [plc_logger] [info] Execution time for plc min loop - ns; 52996 ; mutexlockTime ; 1283 ; difference ; 51713
[2020-08-25 08:59:44.024] [plc_logger] [info] Execution time for plc min loop - ns; 65296 ; mutexlockTime ; 1242 ; difference ; 64054
[2020-08-25 08:59:44.224] [plc_logger] [info] Execution time for plc min loop - ns; 52902 ; mutexlockTime ; 1510 ; difference ; 51392
[2020-08-25 08:59:44.424] [plc_logger] [info] Execution time for plc min loop - ns; 71145 ; mutexlockTime ; 1382 ; difference ; 69763
[2020-08-25 08:59:44.624] [plc_logger] [info] Execution time for plc min loop - ns; 67386 ; mutexlockTime ; 1391 ; difference ; 65995
[2020-08-25 08:59:44.824] [plc_logger] [info] Execution time for plc min loop - ns; 52172 ; mutexlockTime ; 864 ; difference ; 51308
[2020-08-25 08:59:45.024] [plc_logger] [info] Execution time for plc min loop - ns; 51315 ; mutexlockTime ; 1183 ; difference ; 50132
[2020-08-25 08:59:45.224] [plc_logger] [info] Execution time for plc min loop - ns; 53552 ; mutexlockTime ; 1217 ; difference ; 52335
[2020-08-25 08:59:45.424] [plc_logger] [info] Execution time for plc min loop - ns; 42769 ; mutexlockTime ; 1357 ; difference ; 41412
[2020-08-25 08:59:45.624] [plc_logger] [info] Execution time for plc min loop - ns; 38031 ; mutexlockTime ; 961 ; difference ; 37070
[2020-08-25 08:59:45.824] [plc_logger] [info] Execution time for plc min loop - ns; 46250 ; mutexlockTime ; 1086 ; difference ; 45164
[2020-08-25 08:59:46.024] [plc_logger] [info] Execution time for plc min loop - ns; 45365 ; mutexlockTime ; 1079 ; difference ; 44286
[2020-08-25 08:59:46.224] [plc_logger] [info] Execution time for plc min loop - ns; 46954 ; mutexlockTime ; 800 ; difference ; 46154
[2020-08-25 08:59:46.424] [plc_logger] [info] Execution time for plc min loop - ns; 59956 ; mutexlockTime ; 931 ; difference ; 59025
[2020-08-25 08:59:46.624] [plc_logger] [info] Execution time for plc min loop - ns; 37847 ; mutexlockTime ; 736 ; difference ; 37111
[2020-08-25 08:59:46.824] [plc_logger] [info] Execution time for plc min loop - ns; 47316 ; mutexlockTime ; 972 ; difference ; 46344
[2020-08-25 08:59:47.024] [plc_logger] [info] Execution time for plc min loop - ns; 47503 ; mutexlockTime ; 1016 ; difference ; 46487
[2020-08-25 08:59:47.229] [plc_logger] [info] Execution time for plc min loop - ns; 5684522 ; mutexlockTime ; 5625524 ; difference ; 58998
[2020-08-25 08:59:47.430] [plc_logger] [info] Execution time for plc min loop - ns; 6637923 ; mutexlockTime ; 6573650 ; difference ; 64273
