[2020-08-25 09:13:14.270] [plc_logger] [info] Execution time for plc min loop - ns; 236961054 ; mutexlockTime ; 236894010 ; difference ; 67044
[2020-08-25 09:13:14.758] [plc_logger] [info] Execution time for plc min loop - ns; 488429815 ; mutexlockTime ; 49311945 ; difference ; 439117870
[2020-08-25 09:13:14.758] [plc_logger] [info] Execution time for plc min loop - ns; 24351 ; mutexlockTime ; 137 ; difference ; 24214
[2020-08-25 09:13:14.968] [plc_logger] [info] Execution time for plc min loop - ns; 209998099 ; mutexlockTime ; 209947041 ; difference ; 51058
[2020-08-25 09:13:15.227] [plc_logger] [info] Execution time for plc min loop - ns; 258646526 ; mutexlockTime ; 258589302 ; difference ; 57224
[2020-08-25 09:13:15.574] [plc_logger] [info] Execution time for plc min loop - ns; 347161906 ; mutexlockTime ; 347117193 ; difference ; 44713
[2020-08-25 09:13:15.623] [plc_logger] [info] Execution time for plc min loop - ns; 48969619 ; mutexlockTime ; 17341963 ; difference ; 31627656
[2020-08-25 09:13:16.136] [plc_logger] [info] Execution time for plc min loop - ns; 512951885 ; mutexlockTime ; 245813285 ; difference ; 267138600
[2020-08-25 09:13:16.152] [plc_logger] [info] Execution time for plc min loop - ns; 15737842 ; mutexlockTime ; 15433703 ; difference ; 304139
[2020-08-25 09:13:16.364] [plc_logger] [info] Execution time for plc min loop - ns; 212094834 ; mutexlockTime ; 212047161 ; difference ; 47673
[2020-08-25 09:13:16.419] [plc_logger] [info] Execution time for plc min loop - ns; 54586353 ; mutexlockTime ; 54511352 ; difference ; 75001
[2020-08-25 09:13:16.772] [plc_logger] [info] Execution time for plc min loop - ns; 352884848 ; mutexlockTime ; 189569514 ; difference ; 163315334
[2020-08-25 09:13:17.009] [plc_logger] [info] Execution time for plc min loop - ns; 236878238 ; mutexlockTime ; 236809362 ; difference ; 68876
[2020-08-25 09:13:17.122] [plc_logger] [info] Execution time for plc min loop - ns; 113200585 ; mutexlockTime ; 15517108 ; difference ; 97683477
[2020-08-25 09:13:17.513] [plc_logger] [info] Execution time for plc min loop - ns; 390855464 ; mutexlockTime ; 390778355 ; difference ; 77109
[2020-08-25 09:13:17.699] [plc_logger] [info] Execution time for plc min loop - ns; 185606406 ; mutexlockTime ; 185553367 ; difference ; 53039
[2020-08-25 09:13:17.884] [plc_logger] [info] Execution time for plc min loop - ns; 185877065 ; mutexlockTime ; 185826021 ; difference ; 51044
[2020-08-25 09:13:18.317] [plc_logger] [info] Execution time for plc min loop - ns; 432616652 ; mutexlockTime ; 432559635 ; difference ; 57017
[2020-08-25 09:13:18.508] [plc_logger] [info] Execution time for plc min loop - ns; 191209656 ; mutexlockTime ; 191153614 ; difference ; 56042
[2020-08-25 09:13:19.088] [plc_logger] [info] Execution time for plc min loop - ns; 579966784 ; mutexlockTime ; 223045072 ; difference ; 356921712
[2020-08-25 09:13:19.687] [plc_logger] [info] Execution time for plc min loop - ns; 598477562 ; mutexlockTime ; 249965906 ; difference ; 348511656
[2020-08-25 09:13:19.952] [plc_logger] [info] Execution time for plc min loop - ns; 264665364 ; mutexlockTime ; 170080732 ; difference ; 94584632
