[2020-08-25 10:45:26.858] [plc_logger] [info] Execution time for plc min loop - ns; 61860 ; mutexlockTime ; 1127 ; difference ; 60733
[2020-08-25 10:45:27.058] [plc_logger] [info] Execution time for plc min loop - ns; 48196 ; mutexlockTime ; 846 ; difference ; 47350
[2020-08-25 10:45:27.258] [plc_logger] [info] Execution time for plc min loop - ns; 66463 ; mutexlockTime ; 1625 ; difference ; 64838
[2020-08-25 10:45:27.458] [plc_logger] [info] Execution time for plc min loop - ns; 71170 ; mutexlockTime ; 2164 ; difference ; 69006
[2020-08-25 10:45:27.658] [plc_logger] [info] Execution time for plc min loop - ns; 71594 ; mutexlockTime ; 1086 ; difference ; 70508
[2020-08-25 10:45:27.858] [plc_logger] [info] Execution time for plc min loop - ns; 45873 ; mutexlockTime ; 951 ; difference ; 44922
[2020-08-25 10:45:28.058] [plc_logger] [info] Execution time for plc min loop - ns; 52801 ; mutexlockTime ; 979 ; difference ; 51822
[2020-08-25 10:45:28.258] [plc_logger] [info] Execution time for plc min loop - ns; 45566 ; mutexlockTime ; 1055 ; difference ; 44511
[2020-08-25 10:45:28.458] [plc_logger] [info] Execution time for plc min loop - ns; 54084 ; mutexlockTime ; 1412 ; difference ; 52672
[2020-08-25 10:45:28.658] [plc_logger] [info] Execution time for plc min loop - ns; 49202 ; mutexlockTime ; 1863 ; difference ; 47339
[2020-08-25 10:45:28.858] [plc_logger] [info] Execution time for plc min loop - ns; 49545 ; mutexlockTime ; 1091 ; difference ; 48454
[2020-08-25 10:45:29.058] [plc_logger] [info] Execution time for plc min loop - ns; 42793 ; mutexlockTime ; 335 ; difference ; 42458
[2020-08-25 10:45:29.258] [plc_logger] [info] Execution time for plc min loop - ns; 45907 ; mutexlockTime ; 350 ; difference ; 45557
[2020-08-25 10:45:29.458] [plc_logger] [info] Execution time for plc min loop - ns; 52251 ; mutexlockTime ; 1014 ; difference ; 51237
[2020-08-25 10:45:29.658] [plc_logger] [info] Execution time for plc min loop - ns; 53265 ; mutexlockTime ; 2261 ; difference ; 51004
[2020-08-25 10:45:29.858] [plc_logger] [info] Execution time for plc min loop - ns; 57835 ; mutexlockTime ; 1953 ; difference ; 55882
[2020-08-25 10:45:30.058] [plc_logger] [info] Execution time for plc min loop - ns; 53853 ; mutexlockTime ; 1045 ; difference ; 52808
[2020-08-25 10:45:30.258] [plc_logger] [info] Execution time for plc min loop - ns; 45932 ; mutexlockTime ; 978 ; difference ; 44954
[2020-08-25 10:45:30.458] [plc_logger] [info] Execution time for plc min loop - ns; 59069 ; mutexlockTime ; 1040 ; difference ; 58029
[2020-08-25 10:45:30.658] [plc_logger] [info] Execution time for plc min loop - ns; 55384 ; mutexlockTime ; 2129 ; difference ; 53255
[2020-08-25 10:45:30.858] [plc_logger] [info] Execution time for plc min loop - ns; 41879 ; mutexlockTime ; 1021 ; difference ; 40858
[2020-08-25 10:45:31.058] [plc_logger] [info] Execution time for plc min loop - ns; 46704 ; mutexlockTime ; 1018 ; difference ; 45686
[2020-08-25 10:45:31.258] [plc_logger] [info] Execution time for plc min loop - ns; 68501 ; mutexlockTime ; 2215 ; difference ; 66286
[2020-08-25 10:45:31.458] [plc_logger] [info] Execution time for plc min loop - ns; 44951 ; mutexlockTime ; 1037 ; difference ; 43914
[2020-08-25 10:45:31.658] [plc_logger] [info] Execution time for plc min loop - ns; 58013 ; mutexlockTime ; 1109 ; difference ; 56904
[2020-08-25 10:45:31.858] [plc_logger] [info] Execution time for plc min loop - ns; 43160 ; mutexlockTime ; 1041 ; difference ; 42119
[2020-08-25 10:45:32.058] [plc_logger] [info] Execution time for plc min loop - ns; 50858 ; mutexlockTime ; 1321 ; difference ; 49537
[2020-08-25 10:45:32.258] [plc_logger] [info] Execution time for plc min loop - ns; 51518 ; mutexlockTime ; 1358 ; difference ; 50160
[2020-08-25 10:45:32.458] [plc_logger] [info] Execution time for plc min loop - ns; 40236 ; mutexlockTime ; 1274 ; difference ; 38962
[2020-08-25 10:45:32.658] [plc_logger] [info] Execution time for plc min loop - ns; 41095 ; mutexlockTime ; 1060 ; difference ; 40035
[2020-08-25 10:45:32.858] [plc_logger] [info] Execution time for plc min loop - ns; 39957 ; mutexlockTime ; 1014 ; difference ; 38943
[2020-08-25 10:45:33.058] [plc_logger] [info] Execution time for plc min loop - ns; 26413 ; mutexlockTime ; 378 ; difference ; 26035
[2020-08-25 10:45:33.258] [plc_logger] [info] Execution time for plc min loop - ns; 68306 ; mutexlockTime ; 1139 ; difference ; 67167
