[2020-08-25 10:52:13.606] [plc_logger] [info] Execution time for plc min loop - ns; 48028 ; mutexlockTime ; 1149 ; difference ; 46879
[2020-08-25 10:52:13.806] [plc_logger] [info] Execution time for plc min loop - ns; 45951 ; mutexlockTime ; 618 ; difference ; 45333
[2020-08-25 10:52:14.006] [plc_logger] [info] Execution time for plc min loop - ns; 55163 ; mutexlockTime ; 2236 ; difference ; 52927
[2020-08-25 10:52:14.206] [plc_logger] [info] Execution time for plc min loop - ns; 41636 ; mutexlockTime ; 1010 ; difference ; 40626
[2020-08-25 10:52:14.406] [plc_logger] [info] Execution time for plc min loop - ns; 41842 ; mutexlockTime ; 1019 ; difference ; 40823
[2020-08-25 10:52:14.606] [plc_logger] [info] Execution time for plc min loop - ns; 46843 ; mutexlockTime ; 996 ; difference ; 45847
[2020-08-25 10:52:14.806] [plc_logger] [info] Execution time for plc min loop - ns; 45850 ; mutexlockTime ; 1170 ; difference ; 44680
[2020-08-25 10:52:15.006] [plc_logger] [info] Execution time for plc min loop - ns; 44278 ; mutexlockTime ; 1826 ; difference ; 42452
[2020-08-25 10:52:15.206] [plc_logger] [info] Execution time for plc min loop - ns; 87498 ; mutexlockTime ; 1031 ; difference ; 86467
[2020-08-25 10:52:15.406] [plc_logger] [info] Execution time for plc min loop - ns; 70531 ; mutexlockTime ; 1349 ; difference ; 69182
[2020-08-25 10:52:15.606] [plc_logger] [info] Execution time for plc min loop - ns; 48075 ; mutexlockTime ; 1126 ; difference ; 46949
[2020-08-25 10:52:15.806] [plc_logger] [info] Execution time for plc min loop - ns; 56682 ; mutexlockTime ; 2232 ; difference ; 54450
[2020-08-25 10:52:16.006] [plc_logger] [info] Execution time for plc min loop - ns; 52402 ; mutexlockTime ; 1160 ; difference ; 51242
[2020-08-25 10:52:16.206] [plc_logger] [info] Execution time for plc min loop - ns; 44606 ; mutexlockTime ; 339 ; difference ; 44267
[2020-08-25 10:52:16.406] [plc_logger] [info] Execution time for plc min loop - ns; 66337 ; mutexlockTime ; 921 ; difference ; 65416
[2020-08-25 10:52:16.606] [plc_logger] [info] Execution time for plc min loop - ns; 75929 ; mutexlockTime ; 1098 ; difference ; 74831
[2020-08-25 10:52:16.806] [plc_logger] [info] Execution time for plc min loop - ns; 46069 ; mutexlockTime ; 1008 ; difference ; 45061
[2020-08-25 10:52:17.006] [plc_logger] [info] Execution time for plc min loop - ns; 53259 ; mutexlockTime ; 1207 ; difference ; 52052
[2020-08-25 10:52:17.206] [plc_logger] [info] Execution time for plc min loop - ns; 46849 ; mutexlockTime ; 982 ; difference ; 45867
[2020-08-25 10:52:17.406] [plc_logger] [info] Execution time for plc min loop - ns; 63750 ; mutexlockTime ; 1450 ; difference ; 62300
[2020-08-25 10:52:17.606] [plc_logger] [info] Execution time for plc min loop - ns; 42880 ; mutexlockTime ; 797 ; difference ; 42083
[2020-08-25 10:52:17.806] [plc_logger] [info] Execution time for plc min loop - ns; 45689 ; mutexlockTime ; 1101 ; difference ; 44588
[2020-08-25 10:52:18.006] [plc_logger] [info] Execution time for plc min loop - ns; 43247 ; mutexlockTime ; 922 ; difference ; 42325
[2020-08-25 10:52:18.207] [plc_logger] [info] Execution time for plc min loop - ns; 85939 ; mutexlockTime ; 2060 ; difference ; 83879
[2020-08-25 10:52:18.406] [plc_logger] [info] Execution time for plc min loop - ns; 44641 ; mutexlockTime ; 1806 ; difference ; 42835
[2020-08-25 10:52:18.606] [plc_logger] [info] Execution time for plc min loop - ns; 62150 ; mutexlockTime ; 1841 ; difference ; 60309
[2020-08-25 10:52:18.806] [plc_logger] [info] Execution time for plc min loop - ns; 41946 ; mutexlockTime ; 1212 ; difference ; 40734
[2020-08-25 10:52:19.006] [plc_logger] [info] Execution time for plc min loop - ns; 42450 ; mutexlockTime ; 1113 ; difference ; 41337
[2020-08-25 10:52:19.206] [plc_logger] [info] Execution time for plc min loop - ns; 41463 ; mutexlockTime ; 993 ; difference ; 40470
[2020-08-25 10:52:19.406] [plc_logger] [info] Execution time for plc min loop - ns; 47047 ; mutexlockTime ; 1074 ; difference ; 45973
[2020-08-25 10:52:19.606] [plc_logger] [info] Execution time for plc min loop - ns; 64385 ; mutexlockTime ; 974 ; difference ; 63411
[2020-08-25 10:52:19.806] [plc_logger] [info] Execution time for plc min loop - ns; 50102 ; mutexlockTime ; 957 ; difference ; 49145
[2020-08-25 10:52:20.006] [plc_logger] [info] Execution time for plc min loop - ns; 51089 ; mutexlockTime ; 1202 ; difference ; 49887
[2020-08-25 10:52:20.206] [plc_logger] [info] Execution time for plc min loop - ns; 41155 ; mutexlockTime ; 1039 ; difference ; 40116
[2020-08-25 10:52:20.406] [plc_logger] [info] Execution time for plc min loop - ns; 47367 ; mutexlockTime ; 1099 ; difference ; 46268
[2020-08-25 10:52:20.606] [plc_logger] [info] Execution time for plc min loop - ns; 51071 ; mutexlockTime ; 986 ; difference ; 50085
[2020-08-25 10:52:20.806] [plc_logger] [info] Execution time for plc min loop - ns; 74527 ; mutexlockTime ; 1172 ; difference ; 73355
[2020-08-25 10:52:21.006] [plc_logger] [info] Execution time for plc min loop - ns; 41330 ; mutexlockTime ; 380 ; difference ; 40950
[2020-08-25 10:52:21.206] [plc_logger] [info] Execution time for plc min loop - ns; 43824 ; mutexlockTime ; 330 ; difference ; 43494
[2020-08-25 10:52:21.406] [plc_logger] [info] Execution time for plc min loop - ns; 61480 ; mutexlockTime ; 974 ; difference ; 60506
[2020-08-25 10:52:21.606] [plc_logger] [info] Execution time for plc min loop - ns; 44827 ; mutexlockTime ; 2236 ; difference ; 42591
[2020-08-25 10:52:21.806] [plc_logger] [info] Execution time for plc min loop - ns; 49896 ; mutexlockTime ; 1835 ; difference ; 48061
[2020-08-25 10:52:22.006] [plc_logger] [info] Execution time for plc min loop - ns; 59180 ; mutexlockTime ; 1306 ; difference ; 57874
[2020-08-25 10:52:22.206] [plc_logger] [info] Execution time for plc min loop - ns; 55329 ; mutexlockTime ; 1007 ; difference ; 54322
[2020-08-25 10:52:22.406] [plc_logger] [info] Execution time for plc min loop - ns; 43055 ; mutexlockTime ; 2000 ; difference ; 41055
[2020-08-25 10:52:22.606] [plc_logger] [info] Execution time for plc min loop - ns; 47200 ; mutexlockTime ; 1249 ; difference ; 45951
[2020-08-25 10:52:22.806] [plc_logger] [info] Execution time for plc min loop - ns; 43926 ; mutexlockTime ; 447 ; difference ; 43479
[2020-08-25 10:52:23.006] [plc_logger] [info] Execution time for plc min loop - ns; 51457 ; mutexlockTime ; 1715 ; difference ; 49742
[2020-08-25 10:52:23.206] [plc_logger] [info] Execution time for plc min loop - ns; 52505 ; mutexlockTime ; 1007 ; difference ; 51498
[2020-08-25 10:52:23.406] [plc_logger] [info] Execution time for plc min loop - ns; 49699 ; mutexlockTime ; 2300 ; difference ; 47399
[2020-08-25 10:52:23.606] [plc_logger] [info] Execution time for plc min loop - ns; 44423 ; mutexlockTime ; 1039 ; difference ; 43384
[2020-08-25 10:52:23.806] [plc_logger] [info] Execution time for plc min loop - ns; 44507 ; mutexlockTime ; 1442 ; difference ; 43065
[2020-08-25 10:52:24.006] [plc_logger] [info] Execution time for plc min loop - ns; 69797 ; mutexlockTime ; 2660 ; difference ; 67137
[2020-08-25 10:52:24.206] [plc_logger] [info] Execution time for plc min loop - ns; 63058 ; mutexlockTime ; 2222 ; difference ; 60836
[2020-08-25 10:52:24.406] [plc_logger] [info] Execution time for plc min loop - ns; 45070 ; mutexlockTime ; 1291 ; difference ; 43779
[2020-08-25 10:52:24.606] [plc_logger] [info] Execution time for plc min loop - ns; 43687 ; mutexlockTime ; 1042 ; difference ; 42645
[2020-08-25 10:52:24.806] [plc_logger] [info] Execution time for plc min loop - ns; 60944 ; mutexlockTime ; 1248 ; difference ; 59696
[2020-08-25 10:52:25.006] [plc_logger] [info] Execution time for plc min loop - ns; 46811 ; mutexlockTime ; 349 ; difference ; 46462
[2020-08-25 10:52:25.206] [plc_logger] [info] Execution time for plc min loop - ns; 74869 ; mutexlockTime ; 671 ; difference ; 74198
[2020-08-25 10:52:25.406] [plc_logger] [info] Execution time for plc min loop - ns; 46305 ; mutexlockTime ; 1020 ; difference ; 45285
[2020-08-25 10:52:25.606] [plc_logger] [info] Execution time for plc min loop - ns; 42811 ; mutexlockTime ; 2235 ; difference ; 40576
[2020-08-25 10:52:25.806] [plc_logger] [info] Execution time for plc min loop - ns; 46441 ; mutexlockTime ; 1029 ; difference ; 45412
[2020-08-25 10:52:26.006] [plc_logger] [info] Execution time for plc min loop - ns; 46210 ; mutexlockTime ; 971 ; difference ; 45239
[2020-08-25 10:52:26.206] [plc_logger] [info] Execution time for plc min loop - ns; 75191 ; mutexlockTime ; 1299 ; difference ; 73892
[2020-08-25 10:52:26.406] [plc_logger] [info] Execution time for plc min loop - ns; 48077 ; mutexlockTime ; 1176 ; difference ; 46901
[2020-08-25 10:52:26.606] [plc_logger] [info] Execution time for plc min loop - ns; 49147 ; mutexlockTime ; 1114 ; difference ; 48033
[2020-08-25 10:52:26.806] [plc_logger] [info] Execution time for plc min loop - ns; 54851 ; mutexlockTime ; 990 ; difference ; 53861
[2020-08-25 10:52:27.006] [plc_logger] [info] Execution time for plc min loop - ns; 56870 ; mutexlockTime ; 1222 ; difference ; 55648
[2020-08-25 10:52:27.206] [plc_logger] [info] Execution time for plc min loop - ns; 64800 ; mutexlockTime ; 1098 ; difference ; 63702
[2020-08-25 10:52:27.406] [plc_logger] [info] Execution time for plc min loop - ns; 44684 ; mutexlockTime ; 2152 ; difference ; 42532
[2020-08-25 10:52:27.606] [plc_logger] [info] Execution time for plc min loop - ns; 43395 ; mutexlockTime ; 1088 ; difference ; 42307
[2020-08-25 10:52:27.806] [plc_logger] [info] Execution time for plc min loop - ns; 52299 ; mutexlockTime ; 2068 ; difference ; 50231
[2020-08-25 10:52:28.006] [plc_logger] [info] Execution time for plc min loop - ns; 42656 ; mutexlockTime ; 1018 ; difference ; 41638
[2020-08-25 10:52:28.206] [plc_logger] [info] Execution time for plc min loop - ns; 46046 ; mutexlockTime ; 1022 ; difference ; 45024
[2020-08-25 10:52:28.406] [plc_logger] [info] Execution time for plc min loop - ns; 46965 ; mutexlockTime ; 973 ; difference ; 45992
[2020-08-25 10:52:28.606] [plc_logger] [info] Execution time for plc min loop - ns; 49080 ; mutexlockTime ; 973 ; difference ; 48107
[2020-08-25 10:52:28.806] [plc_logger] [info] Execution time for plc min loop - ns; 74049 ; mutexlockTime ; 1237 ; difference ; 72812
[2020-08-25 10:52:29.006] [plc_logger] [info] Execution time for plc min loop - ns; 41872 ; mutexlockTime ; 2169 ; difference ; 39703
[2020-08-25 10:52:29.206] [plc_logger] [info] Execution time for plc min loop - ns; 50635 ; mutexlockTime ; 1239 ; difference ; 49396
[2020-08-25 10:52:29.406] [plc_logger] [info] Execution time for plc min loop - ns; 53315 ; mutexlockTime ; 1018 ; difference ; 52297
[2020-08-25 10:52:29.606] [plc_logger] [info] Execution time for plc min loop - ns; 38216 ; mutexlockTime ; 292 ; difference ; 37924
[2020-08-25 10:52:29.806] [plc_logger] [info] Execution time for plc min loop - ns; 50095 ; mutexlockTime ; 836 ; difference ; 49259
[2020-08-25 10:52:30.006] [plc_logger] [info] Execution time for plc min loop - ns; 49396 ; mutexlockTime ; 850 ; difference ; 48546
